C9-D6_1	GSM3169518	SRR7246051
C9-D6_2	GSM3169519	SRR7246052
C9-D6_3	GSM3169520	SRR7246053
C9-D6_4	GSM3169521	SRR7246054
C9-D6_5	GSM3169522	SRR7246055
C9-D6_6	GSM3169523	SRR7246056
C9-D6_7	GSM3169524	SRR7246057
C9-D6_8	GSM3169525	SRR7246058
C9-D6_9	GSM3169526	SRR7246059
C9-D6_10	GSM3169527	SRR7246060
C9-D6_11	GSM3169528	SRR7246061
C9-D6_12	GSM3169529	SRR7246062
C9-D6_13	GSM3169530	SRR7246063
C9-D6_14	GSM3169531	SRR7246064
C9-D6_15	GSM3169532	SRR7246065
C9-D6_16	GSM3169533	SRR7246066
C9-D6_17	GSM3169534	SRR7246067
C9-D6_18	GSM3169535	SRR7246068
C9-D6_19	GSM3169536	SRR7246069
C9-D6_20	GSM3169537	SRR7246070
C9-D6_21	GSM3169538	SRR7246071
C9-D6_22	GSM3169539	SRR7246072
C9-D6_23	GSM3169540	SRR7246073
C9-D6_24	GSM3169541	SRR7246074
C9-D6_25	GSM3169542	SRR7246075
C9-D6_26	GSM3169543	SRR7246076
C9-D6_27	GSM3169544	SRR7246077
C9-D6_28	GSM3169545	SRR7246078
C9-D6_29	GSM3169546	SRR7246079
C9-D6_30	GSM3169547	SRR7246080
C9-D6_31	GSM3169548	SRR7246081
C9-D6_32	GSM3169549	SRR7246082
C9-D6_33	GSM3169550	SRR7246083
C9-D6_34	GSM3169551	SRR7246084
C9-D6_35	GSM3169552	SRR7246085
C9-D6_36	GSM3169553	SRR7246086
C9-D6_37	GSM3169554	SRR7246087
C9-D6_38	GSM3169555	SRR7246088
C9-D6_39	GSM3169556	SRR7246089
C9-D6_40	GSM3169557	SRR7246090
C9-D6_41	GSM3169558	SRR7246091
C9-D6_42	GSM3169559	SRR7246092
C9-D6_43	GSM3169560	SRR7246093
C9-D6_44	GSM3169561	SRR7246094
C9-D6_45	GSM3169562	SRR7246095
C9-D6_46	GSM3169563	SRR7246096
C9-D6_47	GSM3169564	SRR7246097
C9-D6_48	GSM3169565	SRR7246098
G10_1	GSM3169566	SRR7246099
G10_2	GSM3169567	SRR7246100
G10_3	GSM3169568	SRR7246101
G10_7	GSM3169569	SRR7246102
G10_8	GSM3169570	SRR7246103
G10_9	GSM3169571	SRR7246104
G10_13	GSM3169572	SRR7246105
G10_14	GSM3169573	SRR7246106
G10_15	GSM3169574	SRR7246107
G10_19	GSM3169575	SRR7246108
G10_20	GSM3169576	SRR7246109
G10_21	GSM3169577	SRR7246110
G10_25	GSM3169578	SRR7246111
G10_26	GSM3169579	SRR7246112
G10_27	GSM3169580	SRR7246113
G10_31	GSM3169581	SRR7246114
G10_32	GSM3169582	SRR7246115
G10_33	GSM3169583	SRR7246116
G10_37	GSM3169584	SRR7246117
G10_38	GSM3169585	SRR7246118
G10_39	GSM3169586	SRR7246119
G10_43	GSM3169587	SRR7246120
G10_44	GSM3169588	SRR7246121
G10_45	GSM3169589	SRR7246122
G10_49	GSM3169590	SRR7246123
G10_50	GSM3169591	SRR7246124
G10_51	GSM3169592	SRR7246125
G10_55	GSM3169593	SRR7246126
G10_56	GSM3169594	SRR7246127
G10_57	GSM3169595	SRR7246128
G10_61	GSM3169596	SRR7246129
G10_62	GSM3169597	SRR7246130
G10_63	GSM3169598	SRR7246131
G10_67	GSM3169599	SRR7246132
G10_68	GSM3169600	SRR7246133
G10_69	GSM3169601	SRR7246134
G10_73	GSM3169602	SRR7246135
G10_74	GSM3169603	SRR7246136
G10_75	GSM3169604	SRR7246137
G10_79	GSM3169605	SRR7246138
G10_80	GSM3169606	SRR7246139
G10_81	GSM3169607	SRR7246140
G10_85	GSM3169608	SRR7246141
G10_86	GSM3169609	SRR7246142
G10_87	GSM3169610	SRR7246143
G10_91	GSM3169611	SRR7246144
G10_92	GSM3169612	SRR7246145
G10_93	GSM3169613	SRR7246146
