	label
D6_1	D6
C9_1	C9
D6_2	D6
D6_3	D6
D6_4	D6
D6_5	D6
D6_6	D6
C9_2	C9
C9_3	C9
C9_4	C9
C9_5	C9
D6_7	D6
D6_8	D6
C9_6	C9
D6_9	D6
D6_10	D6
C9_7	C9
D6_11	D6
D6_12	D6
C9_8	C9
D6_13	D6
D6_14	D6
C9_9	C9
D6_15	D6
D6_16	D6
C9_10	C9
D6_17	D6
D6_18	D6
D6_19	D6
C9_11	C9
C9_12	C9
C9_13	C9
C9_14	C9
C9_15	C9
C9_16	C9
C9_17	C9
D6_20	D6
C9_18	C9
D6_21	D6
C9_19	C9
D6_22	D6
C9_20	C9
C9_21	C9
D6_23	D6
C9_22	C9
D6_24	D6
D6_25	D6
D6_26	D6
G10_1	G10
G10_2	G10
G10_3	G10
G10_7	G10
G10_8	G10
G10_9	G10
G10_13	G10
G10_14	G10
G10_15	G10
G10_19	G10
G10_20	G10
G10_21	G10
G10_25	G10
G10_26	G10
G10_27	G10
G10_31	G10
G10_32	G10
G10_33	G10
G10_37	G10
G10_38	G10
G10_39	G10
G10_43	G10
G10_44	G10
G10_45	G10
G10_49	G10
G10_50	G10
G10_51	G10
G10_55	G10
G10_56	G10
G10_57	G10
G10_61	G10
G10_62	G10
G10_63	G10
G10_67	G10
G10_68	G10
G10_69	G10
G10_73	G10
G10_74	G10
G10_75	G10
G10_79	G10
G10_80	G10
G10_81	G10
G10_85	G10
G10_86	G10
G10_87	G10
G10_91	G10
G10_92	G10
G10_93	G10
