C9_1	GSM3169437	SRR7245968
C9_2	GSM3169438	SRR7245969
C9_3	GSM3169439	SRR7245970
C9_4	GSM3169440	SRR7245971
C9_5	GSM3169441	SRR7245972
C9_6	GSM3169442	SRR7245973
C9_7	GSM3169443	SRR7245974
C9_8	GSM3169444	SRR7245975
C9_9	GSM3169445	SRR7245976
C9_10	GSM3169446	SRR7245977
C9_11	GSM3169447	SRR7245978
C9_12	GSM3169448	SRR7245979
C9_13	GSM3169449	SRR7245980
C9_14	GSM3169450	SRR7245981
C9_15	GSM3169451	SRR7245982
C9_16	GSM3169452	SRR7245983
C9_17	GSM3169453	SRR7245984
C9_18	GSM3169454	SRR7245985
C9_19	GSM3169455	SRR7245986
C9_20	GSM3169456	SRR7245987
C9_21	GSM3169457	SRR7245988
C9_22	GSM3169458	SRR7245989
C9_23	GSM3169459	SRR7245990
C9_24	GSM3169460	SRR7245991
C9_25	GSM3169461	SRR7245992
C9_26	GSM3169462	SRR7245993
C9_27	GSM3169463	SRR7245994
C9_28	GSM3169464	SRR7245995
D6_1	GSM3169465	SRR7245996
D6_2	GSM3169466	SRR7245997
D6_3	GSM3169467	SRR7245998
D6_4	GSM3169468	SRR7245999
D6_5	GSM3169469	SRR7246000
D6_6	GSM3169470	SRR7246001
D6_7	GSM3169471	SRR7246002
D6_8	GSM3169472	SRR7246003
D6_9	GSM3169473	SRR7246004
D6_10	GSM3169474	SRR7246005
D6_11	GSM3169475	SRR7246006
D6_12	GSM3169476	SRR7246007
D6_13	GSM3169477	SRR7246008
D6_14	GSM3169478	SRR7246009
D6_15	GSM3169479	SRR7246010
D6_16	GSM3169480	SRR7246011
D6_17	GSM3169481	SRR7246012
D6_18	GSM3169482	SRR7246013
D6_19	GSM3169483	SRR7246014
D6_20	GSM3169484	SRR7246015
D6_21	GSM3169485	SRR7246016
D6_22	GSM3169486	SRR7246017
D6_23	GSM3169487	SRR7246018
D6_24	GSM3169488	SRR7246019
D6_25	GSM3169489	SRR7246020
D6_26	GSM3169490	SRR7246021
D6_27	GSM3169491	SRR7246022
G10_1	GSM3169492	SRR7246023
G10_2	GSM3169493	SRR7246024
G10_3	GSM3169494	SRR7246025
G10_4	GSM3169495	SRR7246026
G10_5	GSM3169496	SRR7246027
G10_6	GSM3169497	SRR7246028
G10_7	GSM3169498	SRR7246029
G10_8	GSM3169499	SRR7246030
G10_9	GSM3169500	SRR7246031
G10_10	GSM3169501	SRR7246032
G10_11	GSM3169502	SRR7246033
G10_12	GSM3169503	SRR7246034
G10_13	GSM3169504	SRR7246035
G10_14	GSM3169505	SRR7246036
G10_15	GSM3169506	SRR7246037
G10_16	GSM3169507	SRR7246038
G10_17	GSM3169508	SRR7246039
G10_18	GSM3169509	SRR7246040
G10_19	GSM3169510	SRR7246041
G10_20	GSM3169511	SRR7246042
G10_21	GSM3169512	SRR7246043
G10_22	GSM3169513	SRR7246044
G10_23	GSM3169514	SRR7246045
G10_24	GSM3169515	SRR7246046
G10_25	GSM3169516	SRR7246047
G10_26	GSM3169517	SRR7246048
