	label
C9_1	C9
C9_2	C9
C9_3	C9
C9_4	C9
C9_5	C9
C9_7	C9
C9_8	C9
C9_11	C9
C9_15	C9
C9_16	C9
C9_17	C9
C9_18	C9
C9_20	C9
C9_21	C9
C9_22	C9
C9_24	C9
C9_27	C9
C9_28	C9
D6_1	D6
D6_2	D6
D6_3	D6
D6_4	D6
D6_5	D6
D6_6	D6
D6_7	D6
D6_8	D6
D6_9	D6
D6_10	D6
D6_11	D6
D6_12	D6
D6_13	D6
D6_14	D6
D6_15	D6
D6_16	D6
D6_17	D6
D6_18	D6
D6_19	D6
D6_20	D6
D6_21	D6
D6_22	D6
D6_23	D6
D6_24	D6
D6_25	D6
D6_26	D6
D6_27	D6
G10_1	G10
G10_2	G10
G10_3	G10
G10_5	G10
G10_6	G10
G10_7	G10
G10_8	G10
G10_9	G10
G10_10	G10
G10_11	G10
G10_12	G10
G10_13	G10
G10_14	G10
G10_15	G10
G10_16	G10
G10_17	G10
G10_18	G10
G10_19	G10
G10_20	G10
G10_21	G10
G10_22	G10
G10_23	G10
G10_24	G10
G10_25	G10
G10_26	G10
